"শীত আসছে আর কাবাব খাবানা তা হবেনা তা হবেনা :-/
চিকেন ঝাল ফ্রাই যা ঝালেই যাদু","5"
"
গিয়েছিলাম ষড়ঋতু রেস্তোঁরা য়, এতো উন্নত মানের গ্রিল চিকেন এবং শিক কাবাব আমার বিশ্বাস ঢাকায় খুব কম রেস্টুরেেন্টে হয়..…এটা একজন কাস্টমার এর রিভিও।","5"
"আমার খাওয়া সবচেয়ে বেস্ট তান্দুরি! তার সাথে রেশমি বাটান নান! Honestly, টেস্ট অনেক অসাধারণ! আছে বিভিন্ন টাইপ, বিভিন্ন টেস্ট, বিভিন্ন পরিবেশনায় তান্দুরি চিকেন আর নানান টেস্টের বাটান নান - এর কম্বিনেশন! এখানকার লাচ্ছি বেস্ট! ","5"
"ঘোরোয়া রেস্টুরেন্ট এলিফ্যান্ট রোড এ প্রথমবারের মতো দুই বান্ধবী মিলে ক্লাস শেষে গিয়েছিলাম দুপুরের Lunch করার উদ্দেশ্যে। এক কথায় টাকা উসূল করার মতো খাবার। 
","5"
"৬ জনের অফার দেখে গেসিলাম খাইতে যদিও গেসিলাম ৫ জন

খাবারের পরিমাণ যথেষ্ট 👌👌
আইটেম গুলাও জোস জোস ছিল কিন্তু ড্রিংক্স ছিল নাহ 😞😞","5"
"খাবারের মান,পরিবেশ,জনপ্রিয়তা নিঃসন্দেহে উচ্চমান সম্পন্ন।
","5"
"Purai e baje akta restaurant. Khabarer quality aktu o valo na. Environment o tmn valo na.
","1"
"bosar jayga den age.then advertisement koren.booking diyeo bosar jayga paina.family niye daray thaki.faltu arrangement with staff der faltu behavior.purai agochalo obostha.manush jeno kukur.khete gese poysa diye....but kono value nai.khabar valo.but arrangement khub beshi kharap
","1"
"khabar er man khubi baje, dam onek,
ei jigar name valo shunci but eto baje shad...
rannaghor tao oshashthokor..","1"
"buffet khele age payment korte hoy age ar menu theke order korle payment pore. so age payment kore buffet khete giye dekhi food nai. picture in comment. time rat 9:20
","1"
"খাবার এর মান ভালো ছিল, স্বাদটাও ঠিকঠাক। কিন্তু অর্ডার দিলাম কাচ্চি,, হোম ডেলিভারি করার সময় নিয়ে এসেছে তেহারি �!!

আমি জিজ্ঞেস করলাম ""কাচ্চি আসতে আসতে তেহারি হলো কি করে!??"" �

উত্তর; স্যার কাচ্চি শেষ। এটা খেয়ে দেখেন ভাল্লাগবে। রাইসের চাইতে মিট বেশি পাবেন।","5"
"Negative 👎 review 
Phone ek rokom kotha bole r on the spot gele r ek rokom kotha( for buffet)
","1"
"ঢাকার সবচেয়ে বেস্ট বুফে
যদি নির্দ্বিধায় আপনার মিল এনজয় করতে চান তাহলে this place is a must
যতবার খেয়েছি কখনো নিরাশ হইনি এবং hopefully সামনে আরো যাব I
বাফের সাথে পিজা এটা কেউ দিতে পারবে না Tradition Bd ছাড়া
এবং তাদের Bangladeshi ট্রেডিশনাল খাবারের যে সেটআপ সেটা আমার মনে হয় না অন্য কেউ তাদের buffet include করে I
ওভারঅল বারবার খাওয়ার মত বাফে","5"
"ato joghonno khabar ami Kono din khai nai.....
very bad","1"
"খুবই বাজে অভিজ্ঞতা হয়েছে। ইচ্ছা করে এসি বন্ধ করে রাখায় হল্রুম গরম ছিল। যদিও তারা বলেছে এসি নষ্ট। কিন্তু সন্দেহ জনক ছিল। গরমে মানুষ খায় কি করে তাও আবার ভারী খাবার। পুরো টাকাটাই জ্বলে গেছে। গত তিন দিনের মধ্যে যারা গিয়েছেন তারা অবশ্যই ব্যাপারটা খেয়াল করেছেন আর যারা যাবেন তারা খুব খেয়াল কইরা যায়েন।
","1"
"হাতি পাদে, হাতি পাদে, টুস!!!
অভিজ্ঞতা টা এমনই হয়েছে। অনেক অফার অনেক কিছু সবই ফালতু। প্রচন্ড গরম। এসি বন্ধ করে রাখে। জিজ্ঞাসা করলে বলে এসি নষ্ট। কিন্তু নতুন কেউ আসলে এসি চলে।

এতএব কেউ গেলে বুঝে যাবেন।
","1"
"Worst Kacchi ever....!!! ৪ জন ফ্রেন্ডদের নিয়ে গিয়েছিলাম। এমন বাজে কাচ্চির টেস্ট...!!! আগে যথেষ্ট ভালো ছিলো। দিন দিন যে এমন বাজে হয়েছে জানলে কখোনই আসতাম না।
","1"
"বিলো এভারেজ মানের খাবার।
আজ গেছিলাম।
খাবার ঠান্ডা সার্ভ করেছে। 
ফুড ব্যাংকের রিভিউ গুলো সব পেইড মনে হচ্ছে এখন।
এই রেস্টুরেন্ট এর কাচ্চি নিয়ে যতটা লাফালাফি করা হয় ; আসলে সে মানের কিছুই নাই। 
খাবার, ডেকোরেশন, স্টাফ,পরিবেশ সব কিছুই খুউব ই নরমাল।","1"
"গতকাল রাতে ওনাদের কাছ থেকে একটা কাচ্চি বিরিয়ানী পার্সেল নিয়েছিলাম। বাসায় খুলে দেখি ব্যাটারা পোড়া রাইস দিয়ে দিয়েছে। একটুও খেতে পারি নাই। একদম বাজে অভিজ্ঞতা।
","1"
"-নাম হয়ে গেলে যা হয়;যেমন বাজে পরিবেশন তেমন বাজে খাবার....�
","1"
"পাস্তা টা ভালো ছিলো, কিন্তু পপরিমাণ এ কম। আর পিৎজা টা মোটেই ভালো ছিলো না। বাঁশি আর টক টক লেগেছে আমার কাছে।��
","1"
